trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
65,0,65,0,113.22228216599979,,113.2093646659996,5,113.22228216599979,113.22228216599979,0.007971125000040047,114.81368658299971,[0.185],[0.47833333333333333],[1],[0],[0],[1.5967257910001535],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
66,0,66,0,114.82900087499956,,114.81600733299956,5,114.82900087499956,114.82900087499956,0.007957667000027868,118.2134797499998,[-0.44166666666666665],[-0.25166666666666665],[1],[0],[0],[3.389902333000009],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
67,0,67,0,118.22889020799994,,118.21579633299962,5,118.22889020799994,118.22889020799994,0.008071875000041473,121.0404000829999,[-0.4766666666666667],[0.115],[1],[0],[0],[2.8169226250001884],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
68,0,68,0,121.06513370799985,,121.04271495799958,10,121.06513370799985,121.06513370799985,0.015178999999989173,125.22303029099976,[0.42],[-0.2833333333333333],[1],[0],[0],[4.16546712499985],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
69,0,69,0,125.23815312499983,,125.22535454099989,5,125.23815312499983,125.23815312499983,0.007913625000128377,126.55726666599958,[0.24],[-0.095],[1],[0],[0],[1.324419707999823],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
70,0,70,0,126.57235574999959,,126.55960383299998,5,126.57235574999959,126.57235574999959,0.007946541999899637,128.4968531659997,[-0.43833333333333335],[-0.04666666666666667],[1],[0],[0],[1.929667666000114],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
71,0,71,0,128.51211449999983,,128.4992079159997,5,128.51211449999983,128.51211449999983,0.008057417000145506,131.12373608299959,[-0.29],[0.47],[1],[0],[0],[2.616864500000247],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
72,0,72,0,131.14818879099994,,131.1260727079998,10,131.14818879099994,131.14818879099994,0.014919834000011178,135.0562958749997,[0.235],[0.41],[1],[0],[0],[3.9156696669997473],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
73,0,73,0,135.08041916599996,,135.05855429099984,10,135.08041916599996,135.08041916599996,0.014914290999968216,137.1064570829999,[0.15166666666666667],[0.30833333333333335],[1],[0],[0],[2.033365791000051],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
74,0,74,0,137.13091479099967,,137.1086987079998,10,137.13091479099967,137.13091479099967,0.015039707999676466,138.94798349999974,[0.20833333333333334],[0.11166666666666666],[1],[0],[0],[1.824642459000188],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
75,0,75,0,138.96338249999962,,138.95023524999988,5,138.96338249999962,138.96338249999962,0.008122166000248399,140.61387958299974,[0.07],[0.23833333333333334],[1],[0],[0],[1.6558943750001163],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
76,0,76,0,140.63802241599979,,140.6161471659998,10,140.63802241599979,140.63802241599979,0.014897708000262355,141.8065217909998,[0.48333333333333334],[0.3333333333333333],[1],[0],[0],[1.1757368749999841],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
77,0,77,0,141.83071712499986,,141.8087672079996,10,141.83071712499986,141.83071712499986,0.015021917000012763,143.88136833299995,[0.195],[0.05333333333333334],[1],[0],[0],[2.0579380829999536],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
78,0,78,0,143.8967054159998,,143.88361958299993,5,143.8967054159998,143.8967054159998,0.007924916999854759,145.52340862499977,[0.051666666666666666],[-0.45166666666666666],[1],[0],[0],[1.63221220899959],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
79,0,79,0,145.5476551249999,,145.52568724999992,10,145.5476551249999,145.5476551249999,0.014868708999983937,147.05702754099957,[-0.365],[0.085],[1],[0],[0],[1.5168466660002196],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
80,0,80,0,147.0811819579999,,147.0592416659997,10,147.0811819579999,147.0811819579999,0.014776667000205634,148.9645805829996,[-0.255],[-0.16],[1],[0],[0],[1.8908712500001457],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
81,0,81,0,148.98871904099997,,148.9668403329997,10,148.98871904099997,148.98871904099997,0.014911209000274539,150.55704183299986,[-0.17166666666666666],[0.20833333333333334],[1],[0],[0],[1.5756796249997933],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
